model,dimension,property,seed,difficulty_ontrain,difficulty_ontest,mse_test
naivesafe,"(2, 4)","(487, 743)",1,0.63,0.66,0.6464822911896724
smle,"(2, 4)","(994, 510)",1,0.85,0.86,1.933619811433859
smle,"(2, 4)","(994, 510)",0,0.85,0.86,1.94876041867367
naivesafe,"(2, 4)","(994, 510)",1,0.85,0.86,1.7595366531521606
naivesafe,"(2, 4)","(994, 510)",0,0.85,0.86,1.4921204807667237
naivesafe,"(2, 4)","(487, 510)",1,1.0,1.0,2.4901061796412596
naivesafe,"(2, 4)","(487, 510)",0,1.0,1.0,2.2733251648230723
smle,"(2, 4)","(487, 510)",1,1.0,1.0,2.7811434466457325
smle,"(2, 4)","(487, 510)",0,1.0,1.0,2.7798050382474924
naivesafe,"(2, 8)","(33, 933)",1,0.0,0.0,10.528779358703513
naivesafe,"(2, 8)","(33, 420)",0,0.0,0.0,3.427158859768756
naivesafe,"(2, 8)","(33, 519)",1,0.0,0.0,10.528779358703513
naivesafe,"(2, 8)","(33, 519)",0,0.0,0.0,3.427158859768756
naivesafe,"(2, 8)","(33, 420)",1,0.0,0.0,10.528779358703513
naivesafe,"(2, 8)","(33, 933)",0,0.0,0.0,3.427158859768756
unsafe,"(2, 8)","(-1, -1)",1,0.0,0.0,10.528779358703513
unsafe,"(2, 8)","(-1, -1)",0,0.0,0.0,3.427158859768756
smle,"(2, 8)","(33, 420)",0,0.0,0.0,4.014630761356174
smle,"(2, 8)","(33, 933)",1,0.0,0.0,4.947270152266448
smle,"(2, 8)","(33, 519)",1,0.0,0.0,4.466949706429603
smle,"(2, 8)","(33, 519)",0,0.0,0.0,3.690563340550314
smle,"(2, 8)","(33, 933)",0,0.0,0.0,5.009323673518612
smle,"(2, 8)","(33, 420)",1,0.0,0.0,6.302820614379686
smle,"(2, 8)","(33, 839)",0,0.0,0.0,5.355578160213706
smle,"(2, 8)","(33, 839)",1,0.0,0.0,4.459187306487626
naivesafe,"(2, 8)","(33, 839)",0,0.0,0.0,3.427158859768756
naivesafe,"(2, 8)","(33, 839)",1,0.0,0.0,10.528779358703513
smle,"(2, 8)","(590, 839)",1,0.02,0.02,14.830001743943807
smle,"(2, 8)","(590, 839)",0,0.02,0.02,14.06931597638127
naivesafe,"(2, 8)","(590, 839)",1,0.02,0.02,10.388460522885294
naivesafe,"(2, 8)","(590, 839)",0,0.02,0.02,3.4595445040979955
naivesafe,"(2, 8)","(994, 839)",1,0.13,0.12,15.82435492927754
naivesafe,"(2, 8)","(994, 839)",0,0.13,0.12,9.008313991047022
smle,"(2, 8)","(994, 839)",1,0.13,0.12,22.526415745360577
smle,"(2, 8)","(994, 839)",0,0.13,0.12,23.7399098532177
smle,"(2, 8)","(487, 839)",1,0.15,0.16,63.117592360740076
smle,"(2, 8)","(487, 839)",0,0.15,0.16,62.913409164685326
naivesafe,"(2, 8)","(487, 839)",1,0.15,0.16,15.792580769189449
naivesafe,"(2, 8)","(487, 839)",0,0.15,0.16,9.453723199391245
naivesafe,"(2, 8)","(590, 933)",0,0.16,0.18,4.2861293899447555
naivesafe,"(2, 8)","(590, 933)",1,0.16,0.18,11.285572448273745
smle,"(2, 8)","(590, 933)",0,0.16,0.18,13.725568520293805
smle,"(2, 8)","(590, 933)",1,0.16,0.18,14.684094983285835
smle,"(2, 8)","(994, 933)",0,0.3,0.3,25.22000437296615
smle,"(2, 8)","(994, 933)",1,0.3,0.3,25.132437787732467
naivesafe,"(2, 8)","(994, 933)",0,0.3,0.3,16.314925426393536
naivesafe,"(2, 8)","(994, 933)",1,0.3,0.3,23.0791998605571
naivesafe,"(2, 8)","(487, 933)",0,0.37,0.38,19.542539054989078
naivesafe,"(2, 8)","(487, 933)",1,0.37,0.38,26.04192204356167
smle,"(2, 8)","(487, 933)",0,0.37,0.38,67.51679366607823
smle,"(2, 8)","(487, 933)",1,0.37,0.38,67.3015391433085
naivesafe,"(2, 8)","(590, 519)",0,0.38,0.42,3.5554569582260456
naivesafe,"(2, 8)","(590, 519)",1,0.38,0.42,10.581584627656465
smle,"(2, 8)","(590, 519)",0,0.38,0.42,12.11857531894929
smle,"(2, 8)","(590, 519)",1,0.38,0.42,12.263928658818696
naivesafe,"(2, 8)","(590, 420)",1,0.54,0.57,10.958377635771111
naivesafe,"(2, 8)","(590, 420)",0,0.54,0.57,4.118895916380334
smle,"(2, 8)","(590, 420)",1,0.54,0.57,12.106488545841678
smle,"(2, 8)","(590, 420)",0,0.54,0.57,12.470983038379966
smle,"(2, 8)","(994, 519)",0,0.64,0.64,24.09662285823788
smle,"(2, 8)","(994, 519)",1,0.64,0.64,23.772950044927665
naivesafe,"(2, 8)","(994, 519)",0,0.64,0.64,11.552113741787787
naivesafe,"(2, 8)","(994, 519)",1,0.64,0.64,18.374956060887964
naivesafe,"(2, 8)","(487, 519)",0,0.74,0.76,12.358889025476156
naivesafe,"(2, 8)","(487, 519)",1,0.74,0.76,18.971369966847668
smle,"(2, 8)","(487, 519)",0,0.74,0.76,60.28776900521369
smle,"(2, 8)","(487, 519)",1,0.74,0.76,60.2391930756424
smle,"(2, 8)","(994, 420)",1,0.85,0.86,25.28389251537299
smle,"(2, 8)","(994, 420)",0,0.85,0.86,24.55036355750293
naivesafe,"(2, 8)","(994, 420)",1,0.85,0.86,14.962158428181379
naivesafe,"(2, 8)","(994, 420)",0,0.85,0.86,8.243107976549464
naivesafe,"(2, 8)","(487, 420)",1,1.0,1.0,17.270136385803635
naivesafe,"(2, 8)","(487, 420)",0,1.0,1.0,11.397580619240337
smle,"(2, 8)","(487, 420)",1,1.0,1.0,64.39917615408584
smle,"(2, 8)","(487, 420)",0,1.0,1.0,64.49463620376146
naivesafe,"(2, 16)","(33, 82)",0,0.0,0.0,208366.63639828633
naivesafe,"(2, 16)","(33, 82)",1,0.0,0.0,226131.89859043373
smle,"(2, 16)","(33, 711)",0,0.0,0.0,208120.8157819223
smle,"(2, 16)","(33, 711)",1,0.0,0.0,207882.73921793376
naivesafe,"(2, 16)","(33, 543)",1,0.0,0.0,226131.89859043373
naivesafe,"(2, 16)","(33, 543)",0,0.0,0.0,208366.63639828633
smle,"(2, 16)","(33, 82)",0,0.0,0.0,207450.549024418
smle,"(2, 16)","(33, 576)",1,0.0,0.0,206764.12910104694
smle,"(2, 16)","(33, 576)",0,0.0,0.0,208166.23409219654
smle,"(2, 16)","(33, 82)",1,0.0,0.0,207971.0975327204
unsafe,"(2, 16)","(-1, -1)",0,0.0,0.0,208366.63639828633
unsafe,"(2, 16)","(-1, -1)",1,0.0,0.0,226131.89859043373
smle,"(2, 16)","(33, 543)",1,0.0,0.0,207976.53182580404
smle,"(2, 16)","(33, 543)",0,0.0,0.0,208481.48846367397
naivesafe,"(2, 16)","(33, 711)",0,0.0,0.0,208366.63639828633
naivesafe,"(2, 16)","(33, 711)",1,0.0,0.0,226131.89859043373
naivesafe,"(2, 16)","(33, 576)",1,0.0,0.0,226131.89859043373
naivesafe,"(2, 16)","(33, 576)",0,0.0,0.0,208366.63639828633
naivesafe,"(2, 16)","(590, 82)",1,0.17,0.18,230377.70121482894
naivesafe,"(2, 16)","(590, 82)",0,0.17,0.18,212997.25091116034
smle,"(2, 16)","(590, 82)",1,0.17,0.18,205898.79716097203
smle,"(2, 16)","(590, 82)",0,0.17,0.18,207455.92819350044
naivesafe,"(2, 16)","(590, 711)",1,0.29,0.32,226571.37533603815
naivesafe,"(2, 16)","(590, 711)",0,0.29,0.32,208665.5693071103
smle,"(2, 16)","(590, 711)",0,0.29,0.32,206231.0129286691
smle,"(2, 16)","(590, 711)",1,0.29,0.32,208981.94606107593
naivesafe,"(2, 16)","(994, 82)",1,0.38,0.37,239292.69838575344
naivesafe,"(2, 16)","(994, 82)",0,0.38,0.37,221464.85513900762
smle,"(2, 16)","(994, 82)",1,0.38,0.37,227845.44445187
smle,"(2, 16)","(994, 82)",0,0.38,0.37,225382.87668369027
smle,"(2, 16)","(487, 82)",1,0.46,0.45,444895.83181594295
smle,"(2, 16)","(487, 82)",0,0.46,0.45,444884.124554592
naivesafe,"(2, 16)","(487, 82)",1,0.46,0.45,279600.9588918872
naivesafe,"(2, 16)","(487, 82)",0,0.46,0.45,266505.0375037146
naivesafe,"(2, 16)","(994, 711)",1,0.46,0.48,226210.5099404086
naivesafe,"(2, 16)","(994, 711)",0,0.46,0.48,208122.8511286761
smle,"(2, 16)","(994, 711)",0,0.46,0.48,226429.34254948082
smle,"(2, 16)","(994, 711)",1,0.46,0.48,226669.81751389662
smle,"(2, 16)","(590, 576)",1,0.54,0.57,207462.65413220465
smle,"(2, 16)","(590, 576)",0,0.54,0.57,206030.38463103716
naivesafe,"(2, 16)","(590, 576)",0,0.54,0.57,208315.5292853755
naivesafe,"(2, 16)","(590, 576)",1,0.54,0.57,226138.38971096918
naivesafe,"(2, 16)","(590, 543)",0,0.54,0.57,207881.46736368077
naivesafe,"(2, 16)","(590, 543)",1,0.54,0.57,225302.87901877347
smle,"(2, 16)","(590, 543)",1,0.54,0.57,207548.958982516
smle,"(2, 16)","(590, 543)",0,0.54,0.57,207882.92389243102
smle,"(2, 16)","(487, 711)",0,0.56,0.58,445271.8551939372
smle,"(2, 16)","(487, 711)",1,0.56,0.58,445278.4052188682
naivesafe,"(2, 16)","(487, 711)",1,0.56,0.58,231674.49861530858
naivesafe,"(2, 16)","(487, 711)",0,0.56,0.58,215226.75327050136
smle,"(2, 16)","(994, 576)",1,0.72,0.72,227025.54710933994
smle,"(2, 16)","(994, 576)",0,0.72,0.72,224630.7920070108
naivesafe,"(2, 16)","(994, 576)",0,0.72,0.72,208158.09236287975
naivesafe,"(2, 16)","(994, 576)",1,0.72,0.72,226007.46596627138
naivesafe,"(2, 16)","(994, 543)",0,0.85,0.86,226588.23931452783
naivesafe,"(2, 16)","(994, 543)",1,0.85,0.86,244462.88855144606
smle,"(2, 16)","(994, 543)",1,0.85,0.86,226365.37134828573
smle,"(2, 16)","(994, 543)",0,0.85,0.86,227064.10844190864
naivesafe,"(2, 16)","(487, 576)",0,0.87,0.87,209135.96493763608
naivesafe,"(2, 16)","(487, 576)",1,0.87,0.87,226951.81170237449
smle,"(2, 16)","(487, 576)",1,0.87,0.87,444222.2269910342
smle,"(2, 16)","(487, 576)",0,0.87,0.87,444187.2444046636
smle,"(2, 16)","(487, 543)",1,1.0,1.0,444113.61791819433
smle,"(2, 16)","(487, 543)",0,1.0,1.0,444156.07967231673
naivesafe,"(2, 16)","(487, 543)",0,1.0,1.0,225192.68543626793
naivesafe,"(2, 16)","(487, 543)",1,1.0,1.0,240997.1396896349
naivesafe,"(4, 2)","(207, 152)",0,0.0,0.0,0.016334905008782125
naivesafe,"(4, 2)","(207, 152)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(680, 688)",1,0.0,0.0,0.901090582307688
unsafe,"(4, 2)","(-1, -1)",1,0.0,0.0,0.9010905846176458
unsafe,"(4, 2)","(-1, -1)",0,0.0,0.0,0.016334904452033935
naivesafe,"(4, 2)","(680, 688)",0,0.0,0.0,0.016334905008782125
smle,"(4, 2)","(207, 710)",1,0.0,0.0,0.07164329710751093
smle,"(4, 2)","(207, 688)",1,0.0,0.0,0.12040298118113404
smle,"(4, 2)","(207, 688)",0,0.0,0.0,0.0634780972999688
smle,"(4, 2)","(207, 710)",0,0.0,0.0,0.031147389979293387
smle,"(4, 2)","(537, 688)",0,0.0,0.0,0.4417048136553482
smle,"(4, 2)","(537, 688)",1,0.0,0.0,0.3213193854797926
naivesafe,"(4, 2)","(207, 215)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(980, 688)",0,0.0,0.0,0.016334905008782125
naivesafe,"(4, 2)","(980, 688)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(207, 215)",0,0.0,0.0,0.016334905008782125
smle,"(4, 2)","(680, 688)",1,0.0,0.0,0.16403740956685967
smle,"(4, 2)","(680, 688)",0,0.0,0.0,0.161874094937172
smle,"(4, 2)","(207, 152)",0,0.0,0.0,0.048613479978106444
smle,"(4, 2)","(207, 152)",1,0.0,0.0,0.02921349504671923
smle,"(4, 2)","(980, 688)",0,0.0,0.0,0.8234428490579676
smle,"(4, 2)","(207, 215)",1,0.0,0.0,0.029311234329593244
smle,"(4, 2)","(207, 215)",0,0.0,0.0,0.05983742850714599
smle,"(4, 2)","(980, 688)",1,0.0,0.0,0.8314100966717142
naivesafe,"(4, 2)","(537, 688)",0,0.0,0.0,0.016334905008782125
naivesafe,"(4, 2)","(537, 688)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(207, 688)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(207, 710)",1,0.0,0.0,0.901090582307688
naivesafe,"(4, 2)","(207, 710)",0,0.0,0.0,0.016334905008782125
naivesafe,"(4, 2)","(207, 688)",0,0.0,0.0,0.016334905008782125
naivesafe,"(4, 2)","(680, 710)",1,0.03,0.03,0.901090582307688
naivesafe,"(4, 2)","(680, 710)",0,0.03,0.03,0.016415364632403444
smle,"(4, 2)","(680, 710)",1,0.03,0.03,0.18954777671138598
smle,"(4, 2)","(680, 710)",0,0.03,0.03,0.1883330502712862
smle,"(4, 2)","(537, 710)",0,0.07,0.07,0.30367444622081863
smle,"(4, 2)","(537, 710)",1,0.07,0.07,0.23492336207350747
naivesafe,"(4, 2)","(537, 710)",0,0.07,0.07,0.016488907154136027
naivesafe,"(4, 2)","(537, 710)",1,0.07,0.07,0.901090582307688
naivesafe,"(4, 2)","(980, 710)",0,0.09,0.09,0.034514415118351946
naivesafe,"(4, 2)","(980, 710)",1,0.09,0.09,0.9011210722723809
smle,"(4, 2)","(980, 710)",0,0.09,0.09,0.8199293047026668
smle,"(4, 2)","(980, 710)",1,0.09,0.09,0.8106107671716012
smle,"(4, 2)","(680, 215)",1,0.12,0.12,0.2944686743757368
smle,"(4, 2)","(680, 215)",0,0.12,0.12,0.18630312589407177
naivesafe,"(4, 2)","(680, 215)",1,0.12,0.12,0.901090582307688
naivesafe,"(4, 2)","(680, 215)",0,0.12,0.12,0.02359800424109932
smle,"(4, 2)","(680, 152)",0,0.21,0.21,0.3199135273682221
smle,"(4, 2)","(680, 152)",1,0.21,0.21,0.26601071319711905
naivesafe,"(4, 2)","(680, 152)",0,0.21,0.21,0.12028453258224321
naivesafe,"(4, 2)","(680, 152)",1,0.21,0.21,0.992266733898665
naivesafe,"(4, 2)","(537, 215)",0,0.22,0.23,0.030732355355868372
naivesafe,"(4, 2)","(537, 215)",1,0.22,0.23,0.901090582307688
smle,"(4, 2)","(537, 215)",0,0.22,0.23,0.44365472803951733
smle,"(4, 2)","(537, 215)",1,0.22,0.23,0.39772524074727894
smle,"(4, 2)","(980, 215)",0,0.32,0.32,0.9921752887957612
smle,"(4, 2)","(980, 215)",1,0.32,0.32,0.9525730573921056
naivesafe,"(4, 2)","(980, 215)",0,0.32,0.32,0.03608428602914419
naivesafe,"(4, 2)","(980, 215)",1,0.32,0.32,0.9011399851828399
naivesafe,"(4, 2)","(537, 152)",1,0.47,0.48,1.1418131615121798
naivesafe,"(4, 2)","(537, 152)",0,0.47,0.48,0.28793671308319935
smle,"(4, 2)","(537, 152)",1,0.47,0.48,0.667774212282232
smle,"(4, 2)","(537, 152)",0,0.47,0.48,0.6893361190299201
smle,"(4, 2)","(980, 152)",1,0.69,0.68,1.3102267888847856
smle,"(4, 2)","(980, 152)",0,0.69,0.68,1.317155357703315
naivesafe,"(4, 2)","(980, 152)",1,0.69,0.68,1.1671960331466045
naivesafe,"(4, 2)","(980, 152)",0,0.69,0.68,0.33269457289327614
unsafe,"(4, 4)","(-1, -1)",1,0.0,0.0,1.2121400776794535
unsafe,"(4, 4)","(-1, -1)",0,0.0,0.0,0.7951648514684921
naivesafe,"(4, 4)","(207, 677)",0,0.0,0.0,0.7951648514684921
naivesafe,"(4, 4)","(207, 677)",1,0.0,0.0,1.2121400776794535
naivesafe,"(4, 4)","(207, 669)",1,0.0,0.0,1.2121400776794535
naivesafe,"(4, 4)","(207, 669)",0,0.0,0.0,0.7951648514684921
naivesafe,"(4, 4)","(207, 980)",0,0.0,0.0,0.7951648514684921
naivesafe,"(4, 4)","(207, 322)",0,0.0,0.0,0.7951648514684921
naivesafe,"(4, 4)","(207, 322)",1,0.0,0.0,1.2121400776794535
naivesafe,"(4, 4)","(207, 980)",1,0.0,0.0,1.2121400776794535
smle,"(4, 4)","(207, 677)",0,0.0,0.0,0.7337147702459197
smle,"(4, 4)","(207, 677)",1,0.0,0.0,0.7041459101801691
smle,"(4, 4)","(207, 980)",0,0.0,0.0,0.7574016813219637
smle,"(4, 4)","(207, 322)",0,0.0,0.0,0.7942627726419484
smle,"(4, 4)","(207, 322)",1,0.0,0.0,0.6885442001780225
smle,"(4, 4)","(207, 980)",1,0.0,0.0,0.7216623353248373
smle,"(4, 4)","(207, 669)",1,0.0,0.0,0.7531096104806734
smle,"(4, 4)","(207, 669)",0,0.0,0.0,0.6994334716352962
smle,"(4, 4)","(680, 980)",0,0.02,0.02,1.679905755241067
smle,"(4, 4)","(680, 980)",1,0.02,0.02,1.7408240239654567
naivesafe,"(4, 4)","(680, 980)",0,0.02,0.02,0.8337352834309195
naivesafe,"(4, 4)","(680, 980)",1,0.02,0.02,1.2500904267062445
smle,"(4, 4)","(680, 322)",0,0.07,0.06,1.6376215686586604
smle,"(4, 4)","(680, 322)",1,0.07,0.06,1.657209489427617
naivesafe,"(4, 4)","(680, 322)",0,0.07,0.06,0.9334736444956844
naivesafe,"(4, 4)","(680, 322)",1,0.07,0.06,1.3480108760959497
naivesafe,"(4, 4)","(537, 980)",1,0.08,0.08,1.315480503526129
naivesafe,"(4, 4)","(537, 980)",0,0.08,0.08,0.899109161768791
smle,"(4, 4)","(537, 980)",1,0.08,0.08,3.619490639874008
smle,"(4, 4)","(537, 980)",0,0.08,0.08,3.739602354124164
smle,"(4, 4)","(980, 980)",1,0.12,0.13,27.98598988605375
smle,"(4, 4)","(980, 980)",0,0.12,0.13,27.979286100074432
naivesafe,"(4, 4)","(980, 980)",1,0.12,0.13,1.7470783598163724
naivesafe,"(4, 4)","(980, 980)",0,0.12,0.13,1.3270111673264777
smle,"(4, 4)","(680, 677)",0,0.13,0.12,2.0814446517187113
smle,"(4, 4)","(680, 677)",1,0.13,0.12,1.9916894412604056
